,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
0,Shanghai Kitchen,['Shanghainese'],6,14 cours Jean Ballard,43.2929841010118,5.37450481206179,10,5.0
1,Le Bon Burger,"['Burgers', 'American']",228,24 place aux Huiles,43.2926558819198,5.37180240555722,36,4.5
2,Le Petit Flore,"['Mediterranean', 'French']",78,14 rue Corneille,43.293307,5.375469,24,5.0
3,Grumpy Cakes,"['Tea Rooms', 'Desserts', 'Salad']",82,12 rue Corneille,43.293379,5.375462,35,4.5
4,Le Grand Latin,['Italian'],104,27 rue Sainte,43.29253,5.37558,179,4.0
5,La Table du Fort,['French'],264,8 rue Fort Notre Dame,43.29274,5.37134,58,4.5
6,Le Bistrot à Vin,"['Bistros', 'Wine Bars']",127,17 rue Sainte,43.29263,5.37601,76,4.0
7,Green Bear Coffee,"['Gluten-Free', 'Vegetarian', 'Cafes']",70,17 rue Glandèves,43.2934399,5.37517,46,4.5
8,Les Panisses,"['French', 'Brasseries']",101,23 rue Sainte,43.29261,5.37571,39,4.0
9,Le Bouchon Provençal,['Restaurants'],227,6 place aux Huiles,43.29287,5.37178,39,4.0
10,Le Cercle Rouge,"['Tapas Bars', 'Corsican', 'Cocktail Bars']",374,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
11,Sauveur,['Pizza'],430,10 rue d'Aubagne,43.295589,5.379063,132,4.5
12,La Manne,"['French', 'Mediterranean']",200,18 boulevard de la Liberté,43.300773,5.38212,12,4.5
13,Le Grain de Sable,"['Vegetarian', 'French']",333,34 Rue Baignoir,43.29952,5.37744,47,4.5
14,Le Comptoir Dugommier,['Brasseries'],62,14 bd Dugommier,43.29869,5.38089,24,4.0
15,La Caravelle,"['Bars', 'Provencal']",872,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
16,Ghomrassen,['Moroccan'],76,21 bd Dugommier,43.29863,5.38076,10,4.5
17,Le Corto,"['Tapas/Small Plates', 'French', 'Mediterranean']",837,24 place Notre-Dame du Mont,43.2917571,5.3842254,65,4.5
18,La Boîte à Sardine,['Seafood'],378,2 boulevard de la Libération,43.29925,5.38618,39,4.0
19,Burger and Coffee,"['Burgers', 'Bagels']",203,11 rue Théâtre Français,43.29734,5.38244,41,3.5
20,La Cantine de Nour d'Egypte,['Egyptian'],304,10 rue Bernex,43.3009903,5.3881795,23,4.5
21,Chez Simone,['French'],225,23 cours Franklin Roosevelt,43.29897,5.38744,12,4.5
22,Café Vian,"['Wine Bars', 'Provencal', 'Barbeque']",597,12 rue Vian,43.29443,5.38383,119,4.5
23,Casa No Name,"['French', 'Mediterranean']",631,7 rue André Poggioli,43.29405,5.38541,30,4.5
24,L'Hippocampe,"['Seafood', 'Mediterranean']",29,14 quai du Port,43.296557,5.373062,13,4.0
25,Vinonéo,"['French', 'Wine Bars', 'Mediterranean']",309,6 place Daviel,43.2977099227985,5.36929702883606,56,4.5
26,Déjeuner en Ville,['Bistros'],59,5 rue de la République,43.2969,5.37363,21,4.5
27,Miramar,['Seafood'],40,12 quai du Port,43.2965,5.373197,143,3.5
28,Une Table au Sud,['Mediterranean'],75,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
29,La Kahena,"['Arabic', 'Mediterranean']",113,2 rue de la République,43.296495,5.3742438,68,3.5
30,Le Bocal,['French'],144,58 Quai Du Port,43.29621,5.37132,23,4.0
31,Toinou,"['Seafood', 'Seafood Markets']",161,3 cours Saint-Louis,43.29612,5.37825,217,3.5
32,Le Café de la Banque,"['Brasseries', 'Bars', 'Breakfast & Brunch']",371,24 bd Paul Peytral,43.29022,5.37866,65,4.5
33,Pouce,"['Tea Rooms', 'Mediterranean']",248,95 bd Longchamp,43.30261,5.39091,15,4.0
34,Teavora,"['Tea Rooms', 'Shopping', 'Restaurants']",243,65 boulevard Longchamp,43.302143,5.38954,97,4.0
35,Palais Longchamp,['Museums'],447,Place Henri Dunant,43.304251217793,5.3943953234515,81,4.5
36,La Table Cinq,['French'],696,8 avenue des Chartreux,43.30304,5.39733,45,4.5
37,Le Débouché,"['Wine Bars', 'French']",318,3 bd National,43.30155,5.38749,20,4.5
38,La Garbure,['French Southwest'],1106,9 cours Julien,43.29527,5.3829,110,4.5
39,Ummagumma,"['French', 'Tapas/Small Plates']",1141,26 rue des Trois Rois,43.29424,5.384759,78,4.5
40,Le Phénicia,['Middle Eastern'],168,187 bd de la Libération,43.30185,5.39373,40,4.0
41,Le Petit Nice Passedat,"['French', 'Seafood']",844,17 rue des Braves,43.280125,5.352096,154,4.0
42,Basilique Notre-Dame de la Garde,"['Churches', 'Landmarks & Historical Buildings']",1196,Rue Fort du Sanctuaire,43.283955,5.371235,197,4.5
43,Corniche Kennedy,"['Landmarks & Historical Buildings', 'Hiking']",131,Corniche John Fitzgerald,43.2753878035253,5.35979576450515,29,4.5
44,L'Epuisette,"['French', 'Mediterranean']",1317,156 Rue Vallon Des Auffes,43.28514,5.35036,145,4.5
45,L'Eau à la Bouche,['Pizza'],1143,120 corniche du Président Kennedy,43.28291,5.35037,52,4.0
46,Le Sunset,"['Brasseries', 'Bistros']",99,315 corniche Kennedy,43.27558,5.35984,8,4.0
47,Le Parc Valmer,['Parks'],502,275 corniche John Fitzerald Kennedy,43.27803,5.35529,19,4.5
48,Zia Concetta,"['Trattorie', 'Imported Food']",107,315 corniche Kennedy,43.2755997,5.3599532,7,3.5
49,Le Comptoir Marseillais,"['Bars', 'Tapas Bars', 'Mediterranean']",1322,5 Promenade Georges Pompidou,43.2675,5.37222,59,3.5
50,Le Rhul,"['Seafood', 'French']",808,269 Corniche Kennedy,43.270596,5.367413,50,3.5
51,Carmine,['Italian'],317,134 quai du Port,43.296061,5.36774,54,4.0
52,Bobolivo,"['Brasseries', 'Bistros', 'French']",337,29 rue Caisserie,43.29676,5.36694,59,4.0
53,Le Café des Épices,['French'],164,4 rue du Lacydon,43.29689,5.36919,112,3.5
54,Au Bout du Quai,"['French', 'Mediterranean']",195,1 avenue St Jean,43.29549,5.36496,65,4.0
55,La Nautique,"['French', 'Seafood', 'Mediterranean']",357,20 quai de Rive Neuve,43.2934859745132,5.37051770435187,60,4.0
56,Damdy's,"['Vegan', 'Vegetarian', 'Juice Bars & Smoothies']",33,148 bis quai du Port,43.296032,5.367379,14,4.5
57,Vanille Noire,['Ice Cream & Frozen Yogurt'],188,13 rue Caisserie,43.2972984,5.36871,43,4.5
58,Le Souk,['Moroccan'],95,98 quai Port,43.29606,5.36853,25,4.0
59,Bar des 13 Coins,"['Bars', 'Cafes', 'Mediterranean']",253,45 rue Sainte-Françoise,43.299392,5.366495,36,4.0
60,Côté Rue,['French'],30,14 Rue St Pons,43.297341879079,5.3661457212746,19,4.5
61,Au Lamparo,['Mediterranean'],45,4 place de Lenche,43.29757,5.36582,44,3.5
62,César Place,"['Modern European', 'French', 'Farmers Market', 'Mediterranean']",64,21 place aux Huiles,43.29283,5.372,131,4.0
63,La Côte de Boeuf,"['Barbeque', 'Steakhouses', 'Provencal']",123,35 cours Honoré d'Estienne d'Orves,43.29227,5.37219,195,4.0
64,Nul Part Ailleurs,['Provencal'],93,18 quai Rive Neuve,43.2931621,5.3704376,145,3.5
65,Douceur Piquante,"['French', 'African']",107,17 rue de l'Eveché,43.298262,5.365831,10,4.0
66,Centre de la Vieille Charité,"['Landmarks & Historical Buildings', 'Museums']",217,2 rue de la Charité,43.30013,5.36777,47,4.5
67,Le Clan des Cigales,['Mediterranean'],257,8 rue Petit Puits,43.3000104571308,5.36852718837072,18,4.0
68,Le Taxi Brousse,"['Dance Clubs', 'African']",296,21 rue Observance,43.30096,5.3675,35,3.5
69,MuCEM,['Museums'],255,7 promenade Robert Laffont,43.296824,5.360513,70,4.0
70,Le Glacier du Roi,"['Ice Cream & Frozen Yogurt', 'Tea Rooms', 'Desserts']",277,4 place de Lenche,43.29755,5.36589,56,4.0
