,Id,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
0,Z_ezFqDSgos1VLmHdePBqg,Shanghai Kitchen,['Shanghainese'],6,14 cours Jean Ballard,43.2929841010118,5.37450481206179,10,5.0
1,gMbdTQCBPjp7mDfWJehHmQ,Le Bon Burger,"['Burgers', 'American']",228,24 place aux Huiles,43.2926558819198,5.37180240555722,36,4.5
2,uLqZhed6FOI-Yxmdi-W2tA,Le Petit Flore,"['Mediterranean', 'French']",78,14 rue Corneille,43.293307,5.375469,24,5.0
3,VO2Gk3YV0vMLEkc3jg0_BA,Grumpy Cakes,"['Tea Rooms', 'Desserts', 'Salad']",82,12 rue Corneille,43.293379,5.375462,35,4.5
4,Jpa7n24xU5h_UTOkbQGyJg,Le Grand Latin,['Italian'],104,27 rue Sainte,43.29253,5.37558,179,4.0
5,Pvzn2DLyJgUWwU6X54zHZw,La Table du Fort,['French'],264,8 rue Fort Notre Dame,43.29274,5.37134,58,4.5
6,cXLbCKm1pyJqEa9BdsyCyw,Le Bistrot à Vin,"['Bistros', 'Wine Bars']",127,17 rue Sainte,43.29263,5.37601,76,4.0
7,yzY4RE7EAcjTOg3KBMi2MQ,Green Bear Coffee,"['Gluten-Free', 'Vegetarian', 'Cafes']",70,17 rue Glandèves,43.2934399,5.37517,46,4.5
8,OXU6KQgkDc7aM9UFDYq1nQ,Les Panisses,"['French', 'Brasseries']",101,23 rue Sainte,43.29261,5.37571,39,4.0
9,ApiCSbuCSLk61vDLr2DV-g,Le Bouchon Provençal,['Restaurants'],227,6 place aux Huiles,43.29287,5.37178,39,4.0
10,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"['Tapas Bars', 'Corsican', 'Cocktail Bars']",374,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
11,EfMabFwgjmWoUibT1DMMzw,Sauveur,['Pizza'],430,10 rue d'Aubagne,43.295589,5.379063,132,4.5
12,ZAHTxYqDTbORoZ6I7G9aGw,La Manne,"['French', 'Mediterranean']",200,18 boulevard de la Liberté,43.300773,5.38212,12,4.5
13,nrxYjkyHSklYcUv4VaNnfg,Le Grain de Sable,"['Vegetarian', 'French']",333,34 Rue Baignoir,43.29952,5.37744,47,4.5
14,7OGAxOPxyio9ti53owZYwA,Le Comptoir Dugommier,['Brasseries'],62,14 bd Dugommier,43.29869,5.38089,24,4.0
15,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"['Bars', 'Provencal']",872,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
16,tYVRvl-U-lhYSRsfyLcFSQ,Ghomrassen,['Moroccan'],76,21 bd Dugommier,43.29863,5.38076,10,4.5
17,KgYoPVXM50ZRhWeDl4mlMA,Le Corto,"['Tapas/Small Plates', 'French', 'Mediterranean']",837,24 place Notre-Dame du Mont,43.2917571,5.3842254,65,4.5
18,tpeRKLNE9Vn5EtihtKEMqQ,La Boîte à Sardine,['Seafood'],378,2 boulevard de la Libération,43.29925,5.38618,39,4.0
19,rtGYloRQLta1hEiKHfIOFA,Burger and Coffee,"['Burgers', 'Bagels']",203,11 rue Théâtre Français,43.29734,5.38244,41,3.5
20,dgIFNUTyd6ZbWGyTJFyAnQ,La Cantine de Nour d'Egypte,['Egyptian'],304,10 rue Bernex,43.3009903,5.3881795,23,4.5
