,Id,Name,Category,Distance,Address,Latitude,Longitude,review_count,rating
0,Z_ezFqDSgos1VLmHdePBqg,Shanghai Kitchen,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]",6,14 cours Jean Ballard,43.2929841010118,5.37450481206179,10,5.0
1,gMbdTQCBPjp7mDfWJehHmQ,Le Bon Burger,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",228,24 place aux Huiles,43.2926558819198,5.37180240555722,36,4.5
2,uLqZhed6FOI-Yxmdi-W2tA,Le Petit Flore,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",78,14 rue Corneille,43.293307,5.375469,24,5.0
3,Pvzn2DLyJgUWwU6X54zHZw,La Table du Fort,"[{'alias': 'french', 'title': 'French'}]",264,8 rue Fort Notre Dame,43.29274,5.37134,58,4.5
4,Jpa7n24xU5h_UTOkbQGyJg,Le Grand Latin,"[{'alias': 'italian', 'title': 'Italian'}]",104,27 rue Sainte,43.29253,5.37558,179,4.0
5,VO2Gk3YV0vMLEkc3jg0_BA,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",82,12 rue Corneille,43.293379,5.375462,35,4.5
6,7kcxniytTyY2zCVqmSUOog,Sylvain Depuichaffray,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",143,66 rue Grignan,43.291756,5.375004,66,4.5
7,ApiCSbuCSLk61vDLr2DV-g,Le Bouchon Provençal,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",227,6 place aux Huiles,43.29287,5.37178,39,4.0
8,cXLbCKm1pyJqEa9BdsyCyw,Le Bistrot à Vin,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",127,17 rue Sainte,43.29263,5.37601,76,4.0
9,yzY4RE7EAcjTOg3KBMi2MQ,Green Bear Coffee,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'cafes', 'title': 'Cafes'}]",70,17 rue Glandèves,43.2934399,5.37517,46,4.5
10,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",374,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
11,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",430,10 rue d'Aubagne,43.295589,5.379063,132,4.5
12,7OGAxOPxyio9ti53owZYwA,Le Comptoir Dugommier,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",62,14 bd Dugommier,43.29869,5.38089,24,4.0
13,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",872,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
14,tYVRvl-U-lhYSRsfyLcFSQ,Ghomrassen,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",76,21 bd Dugommier,43.29863,5.38076,10,4.5
15,ZAHTxYqDTbORoZ6I7G9aGw,La Manne,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",200,18 boulevard de la Liberté,43.300773,5.38212,12,4.5
16,nrxYjkyHSklYcUv4VaNnfg,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",333,34 Rue Baignoir,43.29952,5.37744,47,4.5
17,7av0DefYvzlnjg7dPJgirg,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",414,3 cours Saint-Louis,43.29612,5.37825,217,3.5
18,KgYoPVXM50ZRhWeDl4mlMA,Le Corto,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",837,24 place Notre-Dame du Mont,43.2917571,5.3842254,65,4.5
19,rtGYloRQLta1hEiKHfIOFA,Burger and Coffee,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bagels', 'title': 'Bagels'}]",203,11 rue Théâtre Français,43.29734,5.38244,41,3.5
20,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",273,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
21,dgIFNUTyd6ZbWGyTJFyAnQ,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",304,10 rue Bernex,43.3009903,5.3881795,23,4.5
22,tpeRKLNE9Vn5EtihtKEMqQ,La Boîte à Sardine,"[{'alias': 'seafood', 'title': 'Seafood'}]",122,2 boulevard de la Libération,43.29925,5.38618,39,4.0
23,bwGTTdYVUR1B69pod45UCw,Chez Simone,"[{'alias': 'french', 'title': 'French'}]",225,23 cours Franklin Roosevelt,43.29897,5.38744,12,4.5
24,ZAHTxYqDTbORoZ6I7G9aGw,La Manne,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",249,18 boulevard de la Liberté,43.300773,5.38212,12,4.5
25,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",655,10 rue d'Aubagne,43.295589,5.379063,132,4.5
26,KgYoPVXM50ZRhWeDl4mlMA,Le Corto,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",886,24 place Notre-Dame du Mont,43.2917571,5.3842254,65,4.5
27,7OGAxOPxyio9ti53owZYwA,Le Comptoir Dugommier,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",339,14 bd Dugommier,43.29869,5.38089,24,4.0
28,8aaP45FDUXeJhXKyPIvSfg,Casa No Name,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",631,7 rue André Poggioli,43.29405,5.38541,30,4.5
29,tYVRvl-U-lhYSRsfyLcFSQ,Ghomrassen,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",354,21 bd Dugommier,43.29863,5.38076,10,4.5
30,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",134,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
31,dcG-CXh6Gdi7kxRp472uiQ,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",29,14 quai du Port,43.296557,5.373062,13,4.0
32,_HmsDLwMLKrbmndlNQ7ZoQ,Vinonéo,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",309,6 place Daviel,43.2977099227985,5.36929702883606,56,4.5
33,i1aD9BdALxnbeacX1j3Utw,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",59,5 rue de la République,43.2969,5.37363,21,4.5
34,m5ERA2E2b07Dm5DSwj_cKA,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",40,12 quai du Port,43.2965,5.373197,143,3.5
35,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",113,2 rue de la République,43.296495,5.3742438,68,3.5
36,CSFc59c3-zGbD-cwFa1pSA,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",75,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
37,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",515,10 rue d'Aubagne,43.295589,5.379063,132,4.5
38,Tq4edRBBjg00VILBM2oTzQ,Le Massilia Café,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'sud_ouest', 'title': 'French Southwest'}]",155,33 Rue Reine Elisabeth,43.29638,5.37474,16,4.0
39,tpya1qrNPfCnSDFE53A6sQ,Le Bocal,"[{'alias': 'french', 'title': 'French'}]",144,58 Quai Du Port,43.29621,5.37132,23,4.0
40,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",316,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
41,uLqZhed6FOI-Yxmdi-W2tA,Le Petit Flore,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",221,14 rue Corneille,43.293307,5.375469,24,5.0
42,VO2Gk3YV0vMLEkc3jg0_BA,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",213,12 rue Corneille,43.293379,5.375462,35,4.5
43,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",326,10 rue d'Aubagne,43.295589,5.379063,132,4.5
44,7av0DefYvzlnjg7dPJgirg,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",275,3 cours Saint-Louis,43.29612,5.37825,217,3.5
45,m5ERA2E2b07Dm5DSwj_cKA,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",202,12 quai du Port,43.2965,5.373197,143,3.5
46,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",150,2 rue de la République,43.296495,5.3742438,68,3.5
47,OXU6KQgkDc7aM9UFDYq1nQ,Les Panisses,"[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",301,23 rue Sainte,43.29261,5.37571,39,4.0
48,yzY4RE7EAcjTOg3KBMi2MQ,Green Bear Coffee,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'cafes', 'title': 'Cafes'}]",198,17 rue Glandèves,43.2934399,5.37517,46,4.5
49,dcG-CXh6Gdi7kxRp472uiQ,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",214,14 quai du Port,43.296557,5.373062,13,4.0
50,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",427,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
51,nrxYjkyHSklYcUv4VaNnfg,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",215,34 Rue Baignoir,43.29952,5.37744,47,4.5
52,i1aD9BdALxnbeacX1j3Utw,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",277,5 rue de la République,43.2969,5.37363,21,4.5
53,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",532,10 rue d'Aubagne,43.295589,5.379063,132,4.5
54,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",308,2 rue de la République,43.296495,5.3742438,68,3.5
55,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",889,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
56,CSFc59c3-zGbD-cwFa1pSA,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",329,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
57,m5ERA2E2b07Dm5DSwj_cKA,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",331,12 quai du Port,43.2965,5.373197,143,3.5
58,Oe-yK_CgHpiSBGCQU5AZgg,Starbucks,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",239,17 Rue République,43.297680353066,5.3727738103215,61,3.5
59,7av0DefYvzlnjg7dPJgirg,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",440,3 cours Saint-Louis,43.29612,5.37825,217,3.5
60,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",252,10 rue d'Aubagne,43.295589,5.379063,132,4.5
61,7av0DefYvzlnjg7dPJgirg,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",161,3 cours Saint-Louis,43.29612,5.37825,217,3.5
62,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",422,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
63,nrxYjkyHSklYcUv4VaNnfg,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",296,34 Rue Baignoir,43.29952,5.37744,47,4.5
64,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",192,2 rue de la République,43.296495,5.3742438,68,3.5
65,CSFc59c3-zGbD-cwFa1pSA,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",240,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
66,Tq4edRBBjg00VILBM2oTzQ,Le Massilia Café,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'sud_ouest', 'title': 'French Southwest'}]",158,33 Rue Reine Elisabeth,43.29638,5.37474,16,4.0
67,i1aD9BdALxnbeacX1j3Utw,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",235,5 rue de la République,43.2969,5.37363,21,4.5
68,dcG-CXh6Gdi7kxRp472uiQ,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",284,14 quai du Port,43.296557,5.373062,13,4.0
69,m5ERA2E2b07Dm5DSwj_cKA,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",275,12 quai du Port,43.2965,5.373197,143,3.5
70,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",228,10 rue d'Aubagne,43.295589,5.379063,132,4.5
71,uLqZhed6FOI-Yxmdi-W2tA,Le Petit Flore,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",235,14 rue Corneille,43.293307,5.375469,24,5.0
72,VO2Gk3YV0vMLEkc3jg0_BA,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",235,12 rue Corneille,43.293379,5.375462,35,4.5
73,OXU6KQgkDc7aM9UFDYq1nQ,Les Panisses,"[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",240,23 rue Sainte,43.29261,5.37571,39,4.0
74,KsagIFKCpWr6X_hq9H_mKQ,Le Café de la Banque,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",371,24 bd Paul Peytral,43.29022,5.37866,65,4.5
75,7av0DefYvzlnjg7dPJgirg,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",285,3 cours Saint-Louis,43.29612,5.37825,217,3.5
76,Jpa7n24xU5h_UTOkbQGyJg,Le Grand Latin,"[{'alias': 'italian', 'title': 'Italian'}]",256,27 rue Sainte,43.29253,5.37558,179,4.0
77,cXLbCKm1pyJqEa9BdsyCyw,Le Bistrot à Vin,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",220,17 rue Sainte,43.29263,5.37601,76,4.0
78,B9EDlS5y7zaHUVRFTE5PeA,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",637,34 quai du Port,43.296302648832,5.37139641627038,262,4.0
79,KgYoPVXM50ZRhWeDl4mlMA,Le Corto,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",517,24 place Notre-Dame du Mont,43.2917571,5.3842254,65,4.5
80,dgIFNUTyd6ZbWGyTJFyAnQ,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",369,10 rue Bernex,43.3009903,5.3881795,23,4.5
81,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",823,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
82,EfMabFwgjmWoUibT1DMMzw,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",1250,10 rue d'Aubagne,43.295589,5.379063,132,4.5
83,Hso967z4tT6DQkA_XL-Cdg,Pouce,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",248,95 bd Longchamp,43.30261,5.39091,15,4.0
84,JNVckjqRzuToK65LU-5P8Q,Teavora,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'shopping', 'title': 'Shopping'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",243,65 boulevard Longchamp,43.302143,5.38954,97,4.0
85,P__7FBiVbpZn4Wgf9qOnzw,Le Débouché,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}]",318,3 bd National,43.30155,5.38749,20,4.5
86,I_GTBZ74Wb9DOQg-itmGaA,Palais Longchamp,"[{'alias': 'museums', 'title': 'Museums'}]",447,Place Henri Dunant,43.304251217793,5.3943953234515,81,4.5
87,S-R64GUN37Fr_4e7caZE4Q,Longchamp Palace,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",368,22 bd Longchamp,43.3010402155052,5.38787447497631,54,3.5
88,nrxYjkyHSklYcUv4VaNnfg,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",1065,34 Rue Baignoir,43.29952,5.37744,47,4.5
89,moqTbZsBc6V1Z_6hZ1utoQ,La Table Cinq,"[{'alias': 'french', 'title': 'French'}]",696,8 avenue des Chartreux,43.30304,5.39733,45,4.5
90,dgIFNUTyd6ZbWGyTJFyAnQ,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",389,10 rue Bernex,43.3009903,5.3881795,23,4.5
91,wwcX2d_9rQmz9OzUQEVFHw,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",831,41 rue Adolphe Thiers,43.2972899,5.38546,65,4.5
92,I_GTBZ74Wb9DOQg-itmGaA,Palais Longchamp,"[{'alias': 'museums', 'title': 'Museums'}]",230,Place Henri Dunant,43.304251217793,5.3943953234515,81,4.5
93,Hso967z4tT6DQkA_XL-Cdg,Pouce,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",107,95 bd Longchamp,43.30261,5.39091,15,4.0
94,moqTbZsBc6V1Z_6hZ1utoQ,La Table Cinq,"[{'alias': 'french', 'title': 'French'}]",417,8 avenue des Chartreux,43.30304,5.39733,45,4.5
95,8aaP45FDUXeJhXKyPIvSfg,Casa No Name,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",1133,7 rue André Poggioli,43.29405,5.38541,30,4.5
96,4q-slQPktkv3bVPV4qrATg,Café Vian,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'provencal', 'title': 'Provencal'}, {'alias': 'bbq', 'title': 'Barbeque'}]",1170,12 rue Vian,43.29443,5.38383,119,4.5
97,JNVckjqRzuToK65LU-5P8Q,Teavora,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'shopping', 'title': 'Shopping'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",230,65 boulevard Longchamp,43.302143,5.38954,97,4.0
98,qzI9sQ6vToMDi_RGk9W13w,Ummagumma,"[{'alias': 'french', 'title': 'French'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",1141,26 rue des Trois Rois,43.29424,5.384759,78,4.5
99,QBoxR4UcA63sbIIC8U96Iw,Le Phénicia,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",168,187 bd de la Libération,43.30185,5.39373,40,4.0
100,tltXVzIZGoS1rw5JeBdeww,Basilique Notre-Dame de la Garde,"[{'alias': 'churches', 'title': 'Churches'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",1196,Rue Fort du Sanctuaire,43.283955,5.371235,197,4.5
101,cBxRGoh-x6mcbcNuQ14zPQ,Le Petit Nice Passedat,"[{'alias': 'french', 'title': 'French'}, {'alias': 'seafood', 'title': 'Seafood'}]",844,17 rue des Braves,43.280125,5.352096,154,4.0
102,nz4C7lllIxIH_-d0vrNG-w,Corniche Kennedy,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'hiking', 'title': 'Hiking'}]",131,Corniche John Fitzgerald,43.2753878035253,5.35979576450515,29,4.5
103,x3MJvhMflY9zWYxxIpCyqg,Le Sunset,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}]",99,315 corniche Kennedy,43.27558,5.35984,8,4.0
104,72YsfpjeCvaqXjJ1hdLc5Q,L'Epuisette,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",1317,156 Rue Vallon Des Auffes,43.28514,5.35036,145,4.5
105,wOSIB3vmbZ-vbDrUQhbheQ,L'Eau à la Bouche,"[{'alias': 'pizza', 'title': 'Pizza'}]",1143,120 corniche du Président Kennedy,43.28291,5.35037,52,4.0
106,PzZDS3aW7dNFsKFlBb8vXA,Zia Concetta,"[{'alias': 'trattorie', 'title': 'Trattorie'}, {'alias': 'importedfood', 'title': 'Imported Food'}]",107,315 corniche Kennedy,43.2755997,5.3599532,7,3.5
107,eTTL7338IzdKlbpKpOyuqg,Le Parc Valmer,"[{'alias': 'parks', 'title': 'Parks'}]",502,275 corniche John Fitzerald Kennedy,43.27803,5.35529,19,4.5
