,Name,Category,Address,review_count,rating
0,Shanghai Kitchen,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]",14 cours Jean Ballard,10,5.0
1,Le Bon Burger,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",24 place aux Huiles,36,4.5
2,Le Petit Flore,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",14 rue Corneille,24,5.0
3,La Table du Fort,"[{'alias': 'french', 'title': 'French'}]",8 rue Fort Notre Dame,58,4.5
4,Le Grand Latin,"[{'alias': 'italian', 'title': 'Italian'}]",27 rue Sainte,179,4.0
5,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",12 rue Corneille,35,4.5
6,Sylvain Depuichaffray,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",66 rue Grignan,66,4.5
7,Le Bouchon Provençal,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",6 place aux Huiles,39,4.0
8,Le Bistrot à Vin,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",17 rue Sainte,76,4.0
9,Green Bear Coffee,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'cafes', 'title': 'Cafes'}]",17 rue Glandèves,46,4.5
10,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",41 rue Adolphe Thiers,65,4.5
11,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
12,Le Comptoir Dugommier,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",14 bd Dugommier,24,4.0
13,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",34 quai du Port,262,4.0
14,Ghomrassen,"[{'alias': 'moroccan', 'title': 'Moroccan'}]",21 bd Dugommier,10,4.5
15,La Manne,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",18 boulevard de la Liberté,12,4.5
16,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",34 Rue Baignoir,47,4.5
17,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",3 cours Saint-Louis,217,3.5
18,Le Corto,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",24 place Notre-Dame du Mont,65,4.5
19,Burger and Coffee,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bagels', 'title': 'Bagels'}]",11 rue Théâtre Français,41,3.5
20,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",41 rue Adolphe Thiers,65,4.5
21,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",10 rue Bernex,23,4.5
22,La Boîte à Sardine,"[{'alias': 'seafood', 'title': 'Seafood'}]",2 boulevard de la Libération,39,4.0
23,Chez Simone,"[{'alias': 'french', 'title': 'French'}]",23 cours Franklin Roosevelt,12,4.5
